Name,Category,Price,Description,Image_Link
Green Jacket,Jacket,618.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,621.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,625.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,628.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,632.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,635.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Shirt,Shirt,639.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,642.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,646.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,649.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
Green Jacket,Jacket,653.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,656.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,660.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,663.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,667.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,670.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Shirt,Shirt,674.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,677.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,681.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,684.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
Green Jacket,Jacket,688.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,691.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,695.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,698.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,702.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,705.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Shirt,Shirt,709.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,712.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,716.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,719.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
Green Jacket,Jacket,723.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,726.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,730.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,733.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,737.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,740.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Shirt,Shirt,744.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,747.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,751.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,754.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
Green Jacket,Jacket,758.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,761.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,765.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,768.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,772.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,775.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Shirt,Shirt,779.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,782.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,786.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,789.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
Green Jacket,Jacket,793.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,796.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,800.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,803.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,807.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,810.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Shirt,Shirt,814.0,A stylish white shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=White+Shirt
Black T-Shirt,T-Shirt,817.5,A stylish black t-shirt perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Black+T-Shirt
Blue Jeans,Jeans,821.0,A stylish blue jeans perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Blue+Jeans
Red Trousers,Trousers,824.5,A stylish red trousers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Red+Trousers
Green Jacket,Jacket,828.0,A stylish green jacket perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Green+Jacket
Yellow Sneakers,Sneakers,831.5,A stylish yellow sneakers perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Yellow+Sneakers
Grey Hoodie,Hoodie,835.0,A stylish grey hoodie perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Grey+Hoodie
Beige Blazer,Blazer,838.5,A stylish beige blazer perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Beige+Blazer
Brown Shorts,Shorts,842.0,A stylish brown shorts perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Brown+Shorts
Pink Kurta,Kurta,845.5,A stylish pink kurta perfect for any occasion.,https://dummyimage.com/600x600/ffffff/000000.png&text=Pink+Kurta
White Top,Top,499.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,503.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,507.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,511.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,515.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,520.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,524.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,528.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,532.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,536.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
White Top,Top,541.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,545.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,549.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,553.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,557.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,562.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,566.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,570.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,574.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,578.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
White Top,Top,583.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,587.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,591.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,595.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,599.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,604.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,608.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,612.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,616.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,620.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
White Top,Top,625.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,629.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,633.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,637.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,641.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,646.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,650.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,654.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,658.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,662.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
White Top,Top,667.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,671.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,675.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,679.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,683.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,688.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,692.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,696.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,700.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,704.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
White Top,Top,709.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,713.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,717.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,721.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,725.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,730.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,734.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,738.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,742.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,746.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
White Top,Top,751.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,755.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,759.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,763.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,767.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,772.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,776.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,780.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,784.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,788.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
White Top,Top,793.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,797.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,801.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,805.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,809.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,814.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,818.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,822.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,826.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,830.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
White Top,Top,835.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,839.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,843.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,847.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,851.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,856.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,860.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,864.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,868.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,872.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
White Top,Top,877.0,Elegant white top that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=White+Top
Black Dress,Dress,881.2,Elegant black dress that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Black+Dress
Blue Skirt,Skirt,885.4,Elegant blue skirt that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Blue+Skirt
Red Jeans,Jeans,889.6,Elegant red jeans that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Red+Jeans
Green Trousers,Trousers,893.8,Elegant green trousers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Green+Trousers
Yellow Jacket,Jacket,898.0,Elegant yellow jacket that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Yellow+Jacket
Grey Heels,Heels,902.2,Elegant grey heels that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Grey+Heels
Beige Saree,Saree,906.4,Elegant beige saree that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Beige+Saree
Brown Kurti,Kurti,910.6,Elegant brown kurti that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Brown+Kurti
Pink Sneakers,Sneakers,914.8,Elegant pink sneakers that complements your style.,https://dummyimage.com/600x600/ffc0cb/000000.png&text=Pink+Sneakers
